"","name","BLAS","pts"
"86903","national constitution center hs",61.67,0
"86948","nebinger george w school",51.94,0
"86993","northeast hs",57.41,0
"87038","olney el school",65.62,0
"87083","overbrook edu ctr",60.63,0
"87128","overbrook elementary school",51.56,0
"87173","overbrook hs",34.85,0
"87218","parkway center city hs",84.15,2
"87263","parkway northwest",38.97,0
"87308","parkway west",60.57,0
"87353","patterson john m school",51.6,0
"87398","peirce thomas m school",47.97,0
"87443","penn alexander school",88.33,2
"87488","penn treaty school",51.68,0
"87533","pennell joseph school",46.83,0
"87578","penrose school",51.13,0
"87623","philadelphia learning academy - north",43,0
"87668","philadelphia learning academy - south",37.5,0
"87713","philadelphia military academy at elverson",55.09,0
"87758","pollock robert b school",70.48,1
"87803","potter-thomas school",51,0
"87848","powel samuel school",53.46,0
"87893","prince hall school",46.05,0
"87938","randolph, a. philip area vocational-technical hs",56.99,0
"87983","rhawnhurst school",59.26,0
"88028","rhoads james school",40.92,0
"88073","rhodes e washington school",40.12,0
"88118","richmond school",49.19,0
"88163","robeson hs for human services",57.28,0
"88208","roosevelt theodore ms",38.89,0
"88253","rowen william school",49.41,0
"88298","roxborough hs",33.14,0
"88343","samuel gompers school",47.51,0
"88388","samuel pennypacker school",39.04,0
"88433","saul w b agricultural school",51.64,0
"88478","sayre william l ms",32.35,0
"88523","school of the future",37.92,0
"88568","science leadership academy",68.96,0
"88613","science leadership academy ms",53.71,0
"88658","sharswood george school",56.31,0
"88703","shawmont school",66.1,0
"88748","sheppard isaac school",52.03,0
"88793","sheridan school",49.31,0
"88838","solis-cohen solomon school",51.11,0
"88883","south philadelphia hs",32.73,0
"88928","southwark school",58.68,0
"88973","spring garden school",46.5,0
"89018","spruance gilbert school",46.89,0
"89063","stanton edwin m school",57.91,0
"89108","stearne allen m school",45.56,0
"89153","steel edward school",34.42,0
"89198","strawberry mansion hs",39.88,0
"89243","sullivan james j school",42.74,0
"89288","swenson arts and technology hs",52.35,0
"89333","taggart john h school",55.11,0
"89378","taylor bayard school",44.7,0
"89423","the linc",41.04,0
"89468","the science leadership academy at beeber",63.44,0
"89513","the sd of philadelphia virtual academy",34.38,0
