mapname,planURL
Grays Ferry,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Greenwich,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Haddington,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Phila2035_WEST_BOOK.pdf
Harrowgate,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/North%20Whole%20Book_English_Jan%2010%202018_C_reduced_replaced.pdf
Hartranft,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
Haverford North,https://www.dvrpc.org/reports/04048.pdf
Hawthorne,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/Central_DP_FINAL.pdf
Holmesburg,https://www.phila.gov/CityPlanning/plans/Area%20Plans/UHGSR2.pdf
Hunting Park,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/HuntingParkNeighborhoodStrategicPlan2022.pdf
Juniata Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/North%20Whole%20Book_English_Jan%2010%202018_C_reduced_replaced.pdf
Kingsessing,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/USW_full%20plan.pdf
Lawndale / Lawncrest / Crescentville,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/CNE_DP_MAR%2017.pdf
Lexington Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/CNE_DP_MAR%2017.pdf
Logan,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
Logan Square,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/LoganSquareNeighborhoodParkwayPlan2009.pdf
Lower Moyamensing,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Ludlow,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_Lower%20North%20Book_FINAL%20POST%20PROOFREADER.pdf
Manayunk,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LNW_DP_FINAL_for%20web.pdf
Mantua,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/MantuaTransformationPlan.pdf
Mayfair,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/North%20Delaware%20District%20Plan_Book_FINAL_for%20web%20with%20links_v6_reduced.pdf
Mechanicsville,https://www.phila.gov/historical/Documents/Far%20Northeast%20HP%20Memo_REVISED.pdf
Melrose Park Gardens,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/2015_UNO_DistrictPlanBook.pdf
Mill Creek,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/MakeYorkMarkLowerLancaster2012.pdf
Millbrook / Franklin Mills,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Modena,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Morrell Park,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
Navy Yard,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/LS%20District%20Plan.pdf
Newbold,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/DP_South_FinalDraftforCommission.pdf
Nicetown,http://www.phila.gov/CityPlanning/plans/Independent%20Community%20Based%20Plans/NicetownPlan2011.pdf
Normandy Village,http://www.phila.gov/CityPlanning/plans/District%20Plans%20Library/FNE_Web%20Version.pdf
